"Retailer";"Retailer ID";"Invoice Date";"month";"Region";"State";"City";"category";"Product";"gender";"Price per Unit";"Units Sold";"Total Sales";"Operating Profit";"Operating Margin";"Sales Method"
"Foot Locker";1185732;"2020-01-01";"January";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";50;1200;600000;300000;50;"In-store"
"Foot Locker";1185732;"2020-01-02";"January";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";50;1000;500000;150000;30;"In-store"
"Foot Locker";1185732;"2020-01-03";"January";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";40;1000;400000;140000;35;"In-store"
"Foot Locker";1185732;"2020-01-04";"January";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";45;850;382500;133875;35;"In-store"
"Foot Locker";1185732;"2020-01-05";"January";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;900;540000;162000;30;"In-store"
"Foot Locker";1185732;"2020-01-06";"January";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";50;1000;500000;125000;25;"In-store"
"Foot Locker";1185732;"2020-01-07";"January";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";50;1250;625000;312500;50;"In-store"
"Foot Locker";1185732;"2020-01-08";"January";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";50;900;450000;135000;30;"Outlet"
"Foot Locker";1185732;"2020-01-21";"January";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";40;950;380000;133000;35;"Outlet"
"Foot Locker";1185732;"2020-01-22";"January";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";45;825;371250;129938;35;"Outlet"
"Foot Locker";1185732;"2020-01-23";"January";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;900;540000;162000;30;"Outlet"
"Foot Locker";1185732;"2020-01-24";"January";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";50;1000;500000;125000;25;"Outlet"
"Foot Locker";1185732;"2020-01-25";"January";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";50;1220;610000;305000;50;"Outlet"
"Foot Locker";1185732;"2020-01-26";"January";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";50;925;462500;138750;30;"Outlet"
"Foot Locker";1185732;"2020-01-27";"January";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";40;950;380000;133000;35;"Outlet"
"Foot Locker";1185732;"2020-01-28";"January";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";45;800;360000;126000;35;"Outlet"
"Foot Locker";1185732;"2020-01-29";"January";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;850;510000;153000;30;"Outlet"
"Foot Locker";1185732;"2020-01-30";"January";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";50;950;475000;118750;25;"Outlet"
"Foot Locker";1185732;"2020-01-31";"January";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";50;1200;600000;300000;50;"Outlet"
"Foot Locker";1185732;"2020-02-01";"February";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";50;900;450000;135000;30;"Outlet"
"Foot Locker";1185732;"2020-02-02";"February";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";40;900;360000;126000;35;"Outlet"
"Foot Locker";1185732;"2020-02-03";"February";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";45;825;371250;129938;35;"Outlet"
"Foot Locker";1185732;"2020-02-04";"February";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;825;495000;148500;30;"Outlet"
"Foot Locker";1185732;"2020-02-05";"February";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";50;950;475000;118750;25;"Outlet"
"Foot Locker";1185732;"2020-02-06";"February";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";60;1220;732000;366000;50;"Outlet"
"Foot Locker";1185732;"2020-02-07";"February";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;925;508750;152625;30;"Outlet"
"Foot Locker";1185732;"2020-02-08";"February";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";50;900;450000;157500;35;"Outlet"
"Foot Locker";1185732;"2020-02-09";"February";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";50;850;425000;148750;35;"Outlet"
"Foot Locker";1185732;"2020-02-10";"February";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;875;525000;157500;30;"Outlet"
"Foot Locker";1185732;"2020-03-03";"March";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";65;1000;650000;162500;25;"Outlet"
"Foot Locker";1185732;"2020-03-04";"March";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";60;1250;750000;375000;50;"Outlet"
"Foot Locker";1185732;"2020-03-05";"March";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;1000;550000;165000;30;"Outlet"
"Foot Locker";1185732;"2020-03-06";"March";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";50;925;462500;161875;35;"Outlet"
"Foot Locker";1185732;"2020-03-07";"March";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";50;900;450000;157500;35;"Outlet"
"Foot Locker";1185732;"2020-03-08";"March";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;900;540000;162000;30;"Outlet"
"Foot Locker";1185732;"2020-03-09";"March";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";65;1050;682500;170625;25;"Outlet"
"Foot Locker";1185732;"2020-03-10";"March";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";60;1275;765000;382500;50;"Outlet"
"Foot Locker";1185732;"2020-03-11";"March";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;1025;563750;169125;30;"Outlet"
"Foot Locker";1185732;"2020-03-12";"March";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";50;950;475000;166250;35;"Outlet"
"Foot Locker";1185732;"2020-03-13";"March";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";50;900;450000;157500;35;"Outlet"
"Foot Locker";1185732;"2020-03-14";"March";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;925;555000;166500;30;"Outlet"
"Foot Locker";1185732;"2020-03-15";"March";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";65;1100;715000;178750;25;"Outlet"
"Foot Locker";1185732;"2020-03-16";"March";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";60;1250;750000;375000;50;"Outlet"
"Foot Locker";1185732;"2020-03-17";"March";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;1025;563750;169125;30;"Outlet"
"Foot Locker";1185732;"2020-03-18";"March";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";50;950;475000;166250;35;"Outlet"
"Foot Locker";1185732;"2020-03-31";"March";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";50;925;462500;161875;35;"Outlet"
"Walmart";1185732;"2020-04-17";"April";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;900;540000;162000;30;"Outlet"
"Walmart";1185732;"2020-04-18";"April";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";65;1075;698750;174688;25;"Outlet"
"Walmart";1185732;"2020-04-19";"April";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";60;1200;720000;360000;50;"Outlet"
